date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:06	0/0	---M--	200	added ('OK')	text/plain	etag:%2235e007d-0-5660f3796907a%22	http://www.ethemes.com/robots.txt		(from )
17:10:06	53140/53140	---MCZ	200	added ('OK')	text/html	etag:%2235e185e-cdfa-5660f6a1a1959-gzip%22	http://www.ethemes.com/demo/Dale/	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/index.html	(from )
17:10:08	111659/111659	---M--	200	added ('OK')	text/css	etag:%2235e1ab1-1b42b-5660f7ca84b52%22	http://www.ethemes.com/demo/Dale/css/bootstrap.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/bootstrap.css	(from http://www.ethemes.com/demo/Dale/)
17:10:09	66355/66355	---M--	200	added ('OK')	text/css	etag:%2235e1aba-10333-5660f7cb26d15%22	http://www.ethemes.com/demo/Dale/css/style.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/style.css	(from http://www.ethemes.com/demo/Dale/)
17:10:10	6098/6098	---M--	200	added ('OK')	text/css	etag:%2235e2404-17d2-5660fa04b21e0%22	http://www.ethemes.com/demo/Dale/css/masterslider/masterslider.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/masterslider.css	(from http://www.ethemes.com/demo/Dale/)
17:10:10	5772/5772	---M--	200	added ('OK')	text/css	etag:%2237a1044-168c-5660fed9df291%22	http://www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/style.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/style.css	(from http://www.ethemes.com/demo/Dale/)
17:10:11	20766/20766	---M--	200	added ('OK')	text/css	etag:%2235e1ab3-511e-5660f7caa6662%22	http://www.ethemes.com/demo/Dale/css/font-awesome.min.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/font-awesome.min.css	(from http://www.ethemes.com/demo/Dale/)
17:10:13	57094/57094	---M--	200	added ('OK')	text/css	etag:%2235e1aaf-df06-5660f7ca53258%22	http://www.ethemes.com/demo/Dale/css/animate.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/animate.css	(from http://www.ethemes.com/demo/Dale/)
17:10:13	1946/1946	---M--	200	added ('OK')	text/css	etag:%2235e1ab6-79a-5660f7cac4ac3%22	http://www.ethemes.com/demo/Dale/css/nivo-slider.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/nivo-slider.css	(from http://www.ethemes.com/demo/Dale/)
17:10:13	1612/1612	---M--	200	added ('OK')	text/css	etag:%2235e1ab4-64c-5660f7caa2fb2%22	http://www.ethemes.com/demo/Dale/css/isotope.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/isotope.css	(from http://www.ethemes.com/demo/Dale/)
17:10:14	1196/1196	---M--	200	added ('OK')	text/css	etag:%2235e1ab7-4ac-5660f7cadcd7c%22	http://www.ethemes.com/demo/Dale/css/owl.carousel.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/owl.carousel.css	(from http://www.ethemes.com/demo/Dale/)
17:10:14	4476/4476	---M--	200	added ('OK')	text/css	etag:%2235e1ab8-117c-5660f7cae69bc%22	http://www.ethemes.com/demo/Dale/css/owl.transitions.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/owl.transitions.css	(from http://www.ethemes.com/demo/Dale/)
17:10:14	3966/3966	---M--	200	added ('OK')	text/css	etag:%2235e1ab5-f7e-5660f7cabb26b%22	http://www.ethemes.com/demo/Dale/css/lightbox.css	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/lightbox.css	(from http://www.ethemes.com/demo/Dale/)
17:10:15	2792/2792	---M--	200	added ('OK')	image/png	etag:%2235e2416-ae8-5660fa06f7e79%22	http://www.ethemes.com/demo/Dale/images/design/transparent.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/design/transparent.png	(from http://www.ethemes.com/demo/Dale/)
17:10:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Feb%202018%2011:40:15%20GMT	http://www.ethemes.com/demo/Dale/images/blank.gif	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blank.gif	(from http://www.ethemes.com/demo/Dale/)
17:10:20	10517/10517	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Feb%202018%2011:40:18%20GMT	http://ethemes.com/demo/Dale/images/blank.gif	C:/Users/Bharath/Desktop/Templates/dale/ethemes.com/demo/Dale/images/blank.d.delayed	(from http://www.ethemes.com/demo/Dale/)
17:10:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Feb%202018%2011:40:21%20GMT	http://www.ethemes.com/demo/Dale/videos/CameraLens/CameraLens.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/videos/CameraLens/CameraLens.e.delayed	(from http://www.ethemes.com/demo/Dale/)
17:10:26	10517/10517	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Feb%202018%2011:40:23%20GMT	http://ethemes.com/demo/Dale/videos/CameraLens/CameraLens.jpg	C:/Users/Bharath/Desktop/Templates/dale/ethemes.com/demo/Dale/videos/CameraLens/CameraLens.f.delayed	(from http://www.ethemes.com/demo/Dale/)
17:10:29	53140/53140	---MCZ	200	added ('OK')	text/html	etag:%2235e185e-cdfa-5660f6a1a1959-gzip%22	http://www.ethemes.com/demo/Dale/index.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/index-2.html	(from http://www.ethemes.com/demo/Dale/)
17:10:33	24284/24284	---M--	200	added ('OK')	image/jpeg	etag:%2235e1af0-5edc-5660f7d3cfa09%22	http://www.ethemes.com/demo/Dale/images/logo.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/logo.jpg	(from http://www.ethemes.com/demo/Dale/)
17:10:35	58954/58954	---MCZ	200	added ('OK')	text/html	etag:%2235e1858-e4b0-5660f6a0aea9b-gzip%22	http://www.ethemes.com/demo/Dale/about.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/about.html	(from http://www.ethemes.com/demo/Dale/)
17:10:35	23821/23821	---M-Z	200	added ('OK')	text/html	etag:%2235e185a-5b73-5660f6a10034d-gzip%22	http://www.ethemes.com/demo/Dale/contact.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/contact.html	(from http://www.ethemes.com/demo/Dale/)
17:10:36	43782/43782	---M-Z	200	added ('OK')	text/html	etag:%2235e1859-a96c-5660f6a0d7adc-gzip%22	http://www.ethemes.com/demo/Dale/blog.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/blog.html	(from http://www.ethemes.com/demo/Dale/)
17:10:36	49185/49185	---M-Z	200	added ('OK')	text/html	etag:%2235e1862-be87-5660f6a23b265-gzip%22	http://www.ethemes.com/demo/Dale/single.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/single.html	(from http://www.ethemes.com/demo/Dale/)
17:10:36	48331/48331	---M-Z	200	added ('OK')	text/html	etag:%2235e185b-bb31-5660f6a12be86-gzip%22	http://www.ethemes.com/demo/Dale/footer-alternate.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/footer-alternate.html	(from http://www.ethemes.com/demo/Dale/)
17:10:46	56450/56450	---M--	200	added ('OK')	image/jpeg	etag:%2235e1adb-dc82-5660f7d0a8bce%22	http://www.ethemes.com/demo/Dale/images/citydown.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/citydown.jpg	(from http://www.ethemes.com/demo/Dale/)
17:10:55	51508/51508	---M--	200	added ('OK')	image/jpeg	etag:%2235e1af2-c934-5660f7d40f97b%22	http://www.ethemes.com/demo/Dale/images/oceanscene.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/oceanscene.jpg	(from http://www.ethemes.com/demo/Dale/)
17:10:56	23328/23328	---M-Z	200	added ('OK')	text/html	etag:%2235e185f-5986-5660f6a1cc10a-gzip%22	http://www.ethemes.com/demo/Dale/portfolio-1.html	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/portfolio-1.html	(from http://www.ethemes.com/demo/Dale/)
17:11:13	101888/101888	---M--	200	added ('OK')	image/jpeg	etag:%2235e2445-18e00-5660fa5f64a22%22	http://www.ethemes.com/demo/Dale/videos/RecordPlayer/poster.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/videos/RecordPlayer/poster.jpg	(from http://www.ethemes.com/demo/Dale/)
